Date,Description,Amount,Type,Category,Account
2025-06-01,Salary Deposit,5000.00,Credit,Salary,Checking
2025-06-02,Rent Payment,-1500.00,Debit,Housing,Checking
2025-06-03,Grocery Store,-127.84,Debit,Groceries,Debit Card
2025-06-04,Amazon Purchase,-45.67,Debit,Shopping,Credit Card
2025-06-05,Restaurant,-32.50,Debit,Food & Dining,Debit Card
2025-06-10,Netflix Subscription,-15.99,Debit,Entertainment,Credit Card
2025-06-15,Electric Bill,-89.50,Debit,Utilities,Checking
2025-06-20,Gas Station,-35.25,Debit,Transportation,Credit Card
2025-06-25,Phone Bill,-65.00,Debit,Utilities,Checking
2025-06-30,Refund,45.00,Credit,Refund,Credit Card
2025-06-02,SHELL GAS STATION #5678,-45.30,Credit Card,Transportation
2025-06-03,KROGER GROCERY STORE,-127.84,Debit Card,Groceries
2025-06-03,TARGET STORE #9012,-89.99,Credit Card,Shopping
2025-06-04,NETFLIX SUBSCRIPTION,-15.99,Credit Card,Entertainment
2025-06-04,ELECTRIC COMPANY BILL,-89.50,Checking,Utilities
2025-06-05,CHIPOTLE MEXICAN GRILL,-12.45,Credit Card,Food & Dining
2025-06-05,AMAZON PURCHASE,-34.99,Credit Card,Shopping
2025-06-06,SPOTIFY PREMIUM,-9.99,Credit Card,Entertainment
2025-06-06,MOBIL GAS STATION,-38.75,Credit Card,Transportation
2025-06-07,WHOLE FOODS MARKET,-156.22,Debit Card,Groceries
2025-06-08,FREELANCE PAYMENT,750.00,Checking,Income
2025-06-08,WATER UTILITY BILL,-45.30,Checking,Utilities
2025-06-09,MCDONALDS #3456,-8.99,Credit Card,Food & Dining
2025-06-10,UBER RIDE,-15.60,Credit Card,Transportation
2025-06-10,INTERNET BILL,-79.99,Checking,Utilities
2025-06-11,SAVINGS TRANSFER,-500.00,Checking,Savings
2025-06-12,CVS PHARMACY,-23.45,Credit Card,Health
